status,collision_index,collision_year,collision_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_severity
Unvalidated,2024141404482,2024.0,141404482,1.0,1.0,3,1.0,75,10,9.0,7,0,0,0.0,0,3.0,8,E01007427,3,3
Unvalidated,2024991403346,2024.0,991403346,1.0,2.0,1,2.0,36,7,0.0,0,0,0,0.0,9,2.0,4,-1,3,3
Unvalidated,2024010510047,2024.0,010510047,1.0,1.0,3,1.0,12,3,4.0,1,0,0,,0,1.0,4,E01002309,-1,3
Unvalidated,2024201461923,2024.0,201461923,2.0,1.0,1,1.0,32,6,0.0,0,0,0,0.0,9,1.0,1,E01010063,3,3
Unvalidated,2024010493776,2024.0,010493776,1.0,1.0,1,1.0,48,8,0.0,0,0,0,0.0,2,1.0,2,E01003125,-1,3
Unvalidated,2024161439865,2024.0,161439865,2.0,1.0,1,1.0,19,4,0.0,0,0,0,0.0,3,-1.0,-1,-1,3,3
Unvalidated,2024201437937,,201437937,2.0,3.0,2,2.0,89,11,0.0,0,0,4,0.0,11,1.0,4,E01009205,3,3
Unvalidated,2024010516649,2024.0,010516649,1.0,1.0,1,1.0,59,9,0.0,0,0,0,,9,1.0,2,E01003542,-1,3
Unvalidated,2024991433586,2024.0,991433586,1.0,1.0,3,2.0,5,1,10.0,1,0,0,2.0,0,-1.0,-1,-1,3,3
Unvalidated,2024010519146,2024.0,010519146,1.0,2.0,2,-1.0,-1,-1,0.0,0,1,0,0.0,9,-1.0,-1,-1,-1,3
Unvalidated,2024501411205,2024.0,501411205,1.0,1.0,1,1.0,83,11,0.0,0,0,0,0.0,9,2.0,8,E01017788,3,3
Unvalidated,2024010519175,2024.0,010519175,2.0,2.0,2,2.0,28,6,0.0,0,0,0,0.0,1,1.0,6,E01003738,-1,2
Unvalidated,2024010503025,2024.0,010503025,1.0,1.0,1,1.0,33,6,0.0,0,0,0,0.0,1,1.0,10,E01002189,-1,3
Unvalidated,2024052401415,2024.0,052401415,1.1384016194662268,1.0,1,,58,9,0.0,0,0,0,0.0,1,1.0,1,E01007228,-1,3
Unvalidated,2024201435080,2024.0,,1.0,1.0,3,2.0,22,5,5.0,1,0,0,2.0,0,1.0,1,E01010511,3,3
Unvalidated,2024552400452,2024.0,552400452,2.0,1.0,1,1.0,23,5,0.0,0,0,0,0.0,3,1.0,5,E01015423,-1,3
Unvalidated,2024451457115,2024.0,451457115,1.0,1.0,1,,47,8,0.0,0,0,0,0.0,97,2.0,10,E01030937,3,3
Unvalidated,2024010508376,2024.0,010508376,1.0,1.0,3,2.0,51,8,6.0,9,0,0,0.0,0,1.0,10,E01000811,-1,3
Unvalidated,2024041455839,2024.0,041455839,1.0,1.0,1,2.0,24,5,0.0,0,0,0,0.0,9,3.0,4,E01024975,3,3
Unvalidated,2024010491278,2024.0,,1.0,1.0,1,2.0,36,7,0.0,0,0,0,0.0,1,1.0,1,E01004205,-1,3
Unvalidated,2024010487160,2024.0,010487160,1.0,1.0,3,,13,3,5.0,1,0,0,0.0,0,1.0,6,E01001496,-1,3
,2024052401358,,052401358,1.0,1.0,3,1.0,11,3,5.0,1,0,0,0.0,0,1.0,1,E01006734,-1,2
Unvalidated,2024010496666,2024.0,010496666,1.0,1.0,3,2.0,30,6,5.0,1,0,0,0.0,0,1.0,3,E01003036,-1,3
